,event_timestamp,trade_sign,side,lob_action,order_executed,execution_price,execution_size,ask,bid,midprice,ask_volume,bid_volume,price_changing,midprice_change,R1,norm_trade_volume
617,11:30.9,1,ASK,REMOVE,TRUE,217.98,100,217.98,217.86,217.92,100,186,TRUE,0.085,0.085,0.815044079
618,11:30.9,1,ASK,REMOVE,TRUE,218.03,100,218.03,217.98,218.005,100,100,TRUE,0.01,0.01,0.815044079
619,11:30.9,1,ASK,REMOVE,TRUE,218.05,2,218.05,217.98,218.015,2,100,TRUE,0.01,0.01,0.016300882
620,11:31.1,-1,BID,REMOVE,TRUE,217.98,100,218.08,217.97,218.025,101,100,TRUE,-0.005,0.005,0.539262853
621,11:33.1,-1,BID,REMOVE,TRUE,217.97,9,218.07,217.97,218.02,100,9,TRUE,-0.095,0.095,0.048533657
622,12:03.0,1,ASK,REMOVE,TRUE,218.01,2,218.01,217.84,217.925,2,120,TRUE,0.045,0.045,0.016300882
623,12:11.4,1,ASK,REMOVE,TRUE,218.04,100,218.04,217.9,217.97,100,150,TRUE,0.025,0.025,0.815044079
624,12:11.4,1,ASK,REMOVE,TRUE,218.08,101,218.08,217.91,217.995,101,200,TRUE,0.01,0.01,0.82319452
625,12:11.4,1,ASK,UPDATE,TRUE,218.1,99,218.1,217.91,218.005,100,200,FALSE,-0.05,-0.05,0.806893638
626,12:28.9,1,ASK,REMOVE,TRUE,218,30,218,217.91,217.955,30,300,TRUE,0.065,0.065,0.244513224
627,12:35.8,1,ASK,REMOVE,TRUE,218.13,200,218.13,217.91,218.02,200,300,TRUE,0.04,0.04,1.630088158
628,12:35.8,1,ASK,REMOVE,TRUE,218.14,100,218.14,217.98,218.06,100,100,TRUE,0.03,0.03,0.815044079
629,12:35.8,1,ASK,REMOVE,TRUE,218.2,82,218.2,217.98,218.09,82,100,TRUE,0.11,0.11,0.668336145
630,12:41.6,1,ASK,REMOVE,TRUE,218.22,100,218.22,218.18,218.2,100,100,TRUE,0.005,0.005,0.815044079
631,12:48.3,1,ASK,REMOVE,TRUE,218.22,4,218.22,218.19,218.205,4,100,TRUE,0.015,0.015,0.032601763
632,13:04.7,1,ASK,REMOVE,TRUE,218.25,15,218.25,218.19,218.22,15,100,TRUE,0.005,0.005,0.122256612
633,13:24.9,-1,BID,REMOVE,TRUE,218.19,100,218.26,218.19,218.225,6,100,TRUE,-0.005,0.005,0.539262853
634,13:24.9,-1,BID,REMOVE,TRUE,218.18,100,218.26,218.18,218.22,6,200,FALSE,0,0,0.539262853
635,13:24.9,-1,BID,REMOVE,TRUE,218.18,100,218.26,218.18,218.22,6,100,TRUE,-0.03,0.03,0.539262853
636,13:24.9,-1,BID,REMOVE,TRUE,218.14,100,218.24,218.14,218.19,100,100,TRUE,-0.01,0.01,0.539262853
637,13:24.9,-1,BID,REMOVE,TRUE,218.12,100,218.24,218.12,218.18,100,100,TRUE,-0.24,0.24,0.539262853
638,14:12.4,-1,BID,REMOVE,TRUE,217.9,150,217.98,217.9,217.94,100,150,TRUE,-0.035,0.035,0.80889428
639,14:13.7,1,ASK,UPDATE,TRUE,217.97,20,217.97,217.84,217.905,100,100,FALSE,0.02,0.02,0.163008816
640,14:19.6,-1,BID,REMOVE,TRUE,217.88,2,217.97,217.88,217.925,100,2,TRUE,-0.04,0.04,0.010785257
641,14:23.7,-1,BID,REMOVE,TRUE,217.84,20,217.93,217.84,217.885,100,20,TRUE,-0.035,0.035,0.107852571
642,14:25.1,-1,BID,REMOVE,TRUE,217.81,100,217.89,217.81,217.85,100,100,TRUE,-0.045,0.045,0.539262853
643,14:31.9,-1,BID,REMOVE,TRUE,217.72,100,217.89,217.72,217.805,100,100,TRUE,-0.12,0.12,0.539262853
644,16:00.2,1,ASK,REMOVE,TRUE,217.77,100,217.77,217.6,217.685,100,140,TRUE,0.01,0.01,0.815044079
645,16:00.2,1,ASK,REMOVE,TRUE,217.78,103,217.78,217.61,217.695,103,200,TRUE,0.01,0.01,0.839495401
646,16:00.2,1,ASK,UPDATE,TRUE,217.8,100,217.8,217.61,217.705,300,300,FALSE,0.005,0.005,0.815044079
647,16:00.2,1,ASK,REMOVE,TRUE,217.8,200,217.8,217.62,217.71,200,100,TRUE,0.025,0.025,1.630088158
648,16:09.2,1,ASK,REMOVE,TRUE,217.84,5,217.84,217.63,217.735,5,100,TRUE,0.065,0.065,0.040752204
649,16:13.0,1,ASK,UPDATE,TRUE,217.88,29,217.88,217.72,217.8,101,100,FALSE,0,0,0.236362783
650,16:13.0,1,ASK,REMOVE,TRUE,217.88,72,217.88,217.72,217.8,72,100,TRUE,0.035,0.035,0.586831737
651,16:37.1,1,ASK,UPDATE,TRUE,217.91,25,217.91,217.76,217.835,100,100,FALSE,0,0,0.20376102
652,16:37.1,1,ASK,REMOVE,TRUE,217.91,75,217.91,217.76,217.835,75,100,TRUE,0.065,0.065,0.611283059
653,16:37.1,1,ASK,REMOVE,TRUE,217.92,100,217.92,217.88,217.9,100,100,TRUE,0.01,0.01,0.815044079
654,16:37.1,1,ASK,UPDATE,TRUE,217.94,3,217.94,217.88,217.91,2050,100,FALSE,0,0,0.024451322
655,16:37.1,1,ASK,UPDATE,TRUE,217.94,100,217.94,217.88,217.91,2047,100,FALSE,0,0,0.815044079
656,16:37.1,1,ASK,UPDATE,TRUE,217.94,200,217.94,217.88,217.91,1947,100,FALSE,0,0,1.630088158
657,16:37.1,1,ASK,UPDATE,TRUE,217.94,290,217.94,217.88,217.91,1747,100,FALSE,0,0,2.363627829
658,16:37.1,1,ASK,UPDATE,TRUE,217.94,100,217.94,217.88,217.91,1457,100,FALSE,0,0,0.815044079
659,16:37.1,1,ASK,UPDATE,TRUE,217.94,100,217.94,217.88,217.91,1357,100,FALSE,0,0,0.815044079
660,16:37.1,1,ASK,UPDATE,TRUE,217.94,100,217.94,217.88,217.91,1257,100,FALSE,0,0,0.815044079
661,16:37.1,1,ASK,UPDATE,TRUE,217.94,398,217.94,217.88,217.91,1157,100,FALSE,0,0,3.243875435
662,16:37.1,1,ASK,UPDATE,TRUE,217.94,100,217.94,217.88,217.91,759,100,FALSE,0,0,0.815044079
663,16:37.1,1,ASK,UPDATE,TRUE,217.94,100,217.94,217.88,217.91,659,100,FALSE,0,0,0.815044079
664,16:37.1,1,ASK,UPDATE,TRUE,217.94,100,217.94,217.88,217.91,559,100,FALSE,0,0,0.815044079
665,16:37.1,1,ASK,UPDATE,TRUE,217.94,100,217.94,217.88,217.91,459,100,FALSE,0,0,0.815044079
666,16:37.1,1,ASK,REMOVE,TRUE,217.94,359,217.94,217.88,217.91,359,100,TRUE,0.06,0.06,2.926008244
667,16:38.0,1,ASK,REMOVE,TRUE,218,5,218,217.94,217.97,5,100,TRUE,0.025,0.025,0.040752204
668,16:38.0,1,ASK,UPDATE,TRUE,218.04,32,218.04,217.95,217.995,40,100,FALSE,0,0,0.260814105
669,16:38.0,1,ASK,REMOVE,TRUE,218.04,8,218.04,217.95,217.995,8,100,TRUE,0.035,0.035,0.065203526
670,16:59.1,-1,BID,REMOVE,TRUE,217.95,100,218.11,217.95,218.03,100,100,TRUE,0.06,-0.06,0.539262853
671,17:47.3,-1,BID,REMOVE,TRUE,218.06,100,218.12,218.06,218.09,300,200,FALSE,0,0,0.539262853
672,17:47.3,-1,BID,REMOVE,TRUE,218.06,100,218.12,218.06,218.09,300,100,TRUE,-0.285,0.285,0.539262853
673,18:32.1,-1,BID,UPDATE,TRUE,217.75,294,217.86,217.75,217.805,100,400,FALSE,-0.15,0.15,1.585432789
674,19:18.2,1,ASK,UPDATE,TRUE,217.68,10,217.68,217.63,217.655,100,20,FALSE,0,0,0.081504408
675,19:18.2,1,ASK,REMOVE,TRUE,217.68,90,217.68,217.63,217.655,90,20,TRUE,0.07,0.07,0.733539671
676,19:18.2,-1,BID,REMOVE,TRUE,217.68,100,217.77,217.68,217.725,100,100,TRUE,-0.03,0.03,0.539262853
677,19:19.8,-1,BID,REMOVE,TRUE,217.63,22,217.76,217.63,217.695,100,2,TRUE,-0.145,0.145,0.118637828
678,19:28.7,-1,BID,REMOVE,TRUE,217.5,100,217.6,217.5,217.55,300,100,TRUE,-0.015,0.015,0.539262853
679,19:28.7,-1,BID,UPDATE,TRUE,217.49,5,217.58,217.49,217.535,100,50,FALSE,0,0,0.026963143
680,19:28.7,-1,BID,REMOVE,TRUE,217.49,45,217.58,217.49,217.535,100,45,TRUE,-0.22,0.22,0.242668284
681,19:28.7,1,ASK,REMOVE,TRUE,217.38,40,217.38,217.25,217.315,40,25,TRUE,-0.015,-0.015,0.326017632
682,19:34.1,1,ASK,REMOVE,TRUE,217.32,100,217.32,217.28,217.3,100,50,TRUE,0.04,0.04,0.815044079
683,19:34.2,-1,BID,UPDATE,TRUE,217.28,5,217.4,217.28,217.34,100,50,FALSE,-0.04,0.04,0.026963143
684,19:35.1,1,ASK,UPDATE,TRUE,217.32,70,217.32,217.28,217.3,100,145,FALSE,0,0,0.570530855
685,19:35.1,1,ASK,REMOVE,TRUE,217.32,30,217.32,217.28,217.3,30,145,TRUE,0.04,0.04,0.244513224
686,19:40.0,-1,BID,REMOVE,TRUE,217.28,45,217.4,217.28,217.34,100,45,TRUE,-0.06,0.06,0.242668284
687,19:40.0,-1,BID,REMOVE,TRUE,217.25,25,217.31,217.25,217.28,100,25,TRUE,-0.065,0.065,0.134815713
688,20:01.9,1,ASK,UPDATE,TRUE,217.27,204,217.27,217.16,217.215,300,100,FALSE,0,0,1.662689921
689,20:01.9,1,ASK,REMOVE,TRUE,217.27,96,217.27,217.16,217.215,96,100,TRUE,0.085,0.085,0.782442316
690,20:41.4,-1,BID,REMOVE,TRUE,217.2,100,217.4,217.2,217.3,100,100,TRUE,-0.06,0.06,0.539262853
691,21:05.3,1,ASK,REMOVE,TRUE,217.27,2,217.27,217.21,217.24,2,100,TRUE,0.025,0.025,0.016300882
692,21:05.3,1,ASK,REMOVE,TRUE,217.3,100,217.3,217.23,217.265,100,100,TRUE,0.035,0.035,0.815044079
693,21:05.3,1,ASK,UPDATE,TRUE,217.31,200,217.31,217.29,217.3,500,100,FALSE,0,0,1.630088158
694,21:05.3,1,ASK,UPDATE,TRUE,217.31,195,217.31,217.29,217.3,300,100,FALSE,0,0,1.589335954
695,21:05.3,1,ASK,UPDATE,TRUE,217.31,100,217.31,217.29,217.3,105,100,FALSE,0,0,0.815044079
696,21:05.3,1,ASK,REMOVE,TRUE,217.31,5,217.31,217.29,217.3,5,100,TRUE,0.005,0.005,0.040752204
697,21:05.3,1,ASK,REMOVE,TRUE,217.32,100,217.32,217.29,217.305,203,100,FALSE,0,0,0.815044079
698,21:05.3,1,ASK,REMOVE,TRUE,217.32,103,217.32,217.29,217.305,103,100,TRUE,0.035,0.035,0.839495401
699,21:05.3,-1,BID,REMOVE,TRUE,217.3,100,217.39,217.29,217.34,108,100,TRUE,-0.005,0.005,0.539262853
700,21:05.5,1,ASK,UPDATE,TRUE,217.38,46,217.38,217.29,217.335,100,100,FALSE,0.005,0.005,0.374920276
701,21:05.8,1,ASK,UPDATE,TRUE,217.39,94,217.39,217.29,217.34,108,100,FALSE,0,0,0.766141434
702,21:05.8,1,ASK,REMOVE,TRUE,217.39,14,217.39,217.29,217.34,14,100,TRUE,0.015,0.015,0.114106171
703,21:06.0,1,ASK,UPDATE,TRUE,217.41,70,217.41,217.3,217.355,200,100,FALSE,0,0,0.570530855
704,21:06.0,1,ASK,REMOVE,TRUE,217.41,130,217.41,217.3,217.355,130,100,TRUE,0.115,0.115,1.059557303
705,21:18.3,-1,BID,REMOVE,TRUE,217.45,5,217.49,217.45,217.47,200,5,TRUE,-0.07,0.07,0.026963143
706,21:42.0,-1,BID,UPDATE,TRUE,217.32,70,217.48,217.32,217.4,100,100,FALSE,0,0,0.377483997
707,21:42.0,-1,BID,REMOVE,TRUE,217.32,30,217.48,217.32,217.4,100,30,TRUE,-0.005,0.005,0.161778856
708,21:42.0,-1,BID,REMOVE,TRUE,217.31,100,217.48,217.31,217.395,100,100,TRUE,-0.095,0.095,0.539262853
709,21:47.5,-1,BID,REMOVE,TRUE,217.2,100,217.4,217.2,217.3,401,100,TRUE,-0.12,0.12,0.539262853
710,21:47.5,-1,BID,UPDATE,TRUE,217.15,200,217.21,217.15,217.18,100,1000,FALSE,0,0,1.078525707
711,21:47.5,-1,BID,UPDATE,TRUE,217.15,100,217.21,217.15,217.18,100,800,FALSE,0,0,0.539262853
712,21:47.5,-1,BID,UPDATE,TRUE,217.15,270,217.21,217.15,217.18,100,700,FALSE,0,0,1.456009704
713,21:47.5,-1,BID,UPDATE,TRUE,217.15,285,217.21,217.15,217.18,100,430,FALSE,0,0,1.536899132
714,21:47.5,-1,BID,REMOVE,TRUE,217.15,145,217.21,217.15,217.18,100,145,TRUE,-0.07,0.07,0.781931138
715,21:47.6,-1,BID,UPDATE,TRUE,217.03,25,217.19,217.03,217.11,100,100,FALSE,0,0,0.134815713
716,21:47.6,-1,BID,UPDATE,TRUE,217.03,51,217.19,217.03,217.11,100,75,FALSE,0,0,0.275024055
717,21:47.6,-1,BID,UPDATE,TRUE,217.03,3,217.19,217.03,217.11,100,24,FALSE,0,0,0.016177886
